Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,NY Red Bulls,17,14,1,2,36,10,+26,43,2.53,34.4,18.6,+15.8,+0.93,17,8,4,5,26,23,+3,28,1.65,25.1,23.4,+1.7,+0.10
2,Atlanta,17,11,4,2,42,19,+23,37,2.18,37.5,16.6,+20.8,+1.23,17,10,2,5,28,25,+3,32,1.88,33.9,21.2,+12.8,+0.75
3,NYCFC,17,12,4,1,36,10,+26,40,2.35,37.1,15.5,+21.6,+1.27,17,4,4,9,23,35,-12,16,0.94,18.1,25.3,-7.3,-0.45
4,D.C. United,17,13,2,2,37,17,+20,41,2.41,25.5,22.3,+3.2,+0.19,17,1,7,9,23,33,-10,10,0.59,21.2,26.0,-4.8,-0.28
5,Columbus,17,11,4,2,32,21,+11,37,2.18,30.1,16.0,+14.0,+0.83,17,3,5,9,11,24,-13,14,0.82,18.1,22.1,-4.0,-0.24
6,Philadelphia,17,9,2,6,29,20,+9,29,1.71,28.8,21.9,+6.9,+0.41,17,6,3,8,20,30,-10,21,1.24,24.4,28.3,-3.9,-0.23
7,Montreal,17,11,2,4,31,16,+15,35,2.06,25.5,22.2,+3.3,+0.20,17,3,2,12,16,37,-21,11,0.65,17.0,28.1,-11.1,-0.65
8,New England,17,8,5,4,28,20,+8,29,1.71,24.2,17.9,+6.3,+0.37,17,2,6,9,21,35,-14,12,0.71,18.9,32.7,-13.8,-0.81
9,Toronto FC,17,8,2,7,39,29,+10,26,1.53,35.0,24.0,+11.0,+0.65,17,2,4,11,20,35,-15,10,0.59,23.3,30.6,-7.3,-0.43
10,Chicago,17,6,4,7,28,25,+3,22,1.29,20.2,23.1,-2.9,-0.17,17,2,4,11,20,36,-16,10,0.59,19.5,36.8,-17.3,-1.02
11,Orlando City,17,6,4,7,28,30,-2,22,1.29,25.3,27.0,-1.7,-0.10,17,2,0,15,15,44,-29,6,0.35,19.7,36.0,-16.3,-0.96
