Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,Portland,17,11,4,2,38,18,+20,37,2.18,17,4,4,9,22,32,-10,16,0.94
2,Seattle,17,11,5,1,32,12,+20,38,2.24,17,3,6,8,20,27,-7,15,0.88
3,Vancouver,17,9,5,3,30,20,+10,32,1.88,17,6,2,9,20,29,-9,20,1.18
4,Houston,17,12,4,1,43,17,+26,40,2.35,17,1,7,9,14,28,-14,10,0.59
5,Sporting KC,17,10,6,1,30,11,+19,36,2.12,17,2,7,8,10,18,-8,13,0.76
6,San Jose,17,10,5,2,28,21,+7,35,2.06,17,3,2,12,11,39,-28,11,0.65
7,FC Dallas,17,8,7,2,33,20,+13,31,1.82,17,3,6,8,15,28,-13,15,0.88
8,Real Salt Lake,17,9,4,4,26,16,+10,31,1.82,17,4,2,11,23,39,-16,14,0.82
9,Minnesota,17,7,4,6,25,26,-1,25,1.47,17,3,2,12,22,44,-22,11,0.65
10,Colorado,17,8,4,5,24,20,+4,28,1.65,17,1,2,14,7,31,-24,5,0.29
11,LA Galaxy,17,3,5,9,17,29,-12,14,0.82,17,5,3,9,28,38,-10,18,1.06
