Squad,Seasons,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,PremierLeague,ChampionsLeauge,EuropaLeague,FACup,LeagueCup
Arsenal,28,1076,579,274,223,1902,1061,841,2011,3,0,0,9,1
Aston Villa,25,962,325,283,354,1158,1253,-95,1258,0,0,0,0,2
Barnsley,1,38,10,5,23,37,82,-45,35,0,0,0,0,0
Birmingham City,7,266,73,82,111,273,360,-87,301,0,0,0,0,1
Blackburn,18,696,262,184,250,927,907,20,970,1,0,0,0,1
Blackpool,1,38,10,9,19,55,78,-23,39,0,0,0,0,0
Bolton,13,494,149,128,217,575,745,-170,575,0,0,0,0,0
Bournemouth,5,190,56,43,91,241,330,-89,211,0,0,0,0,0
Bradford City,2,76,14,20,42,68,138,-70,62,0,0,0,0,0
Brighton,3,114,27,36,51,108,168,-60,117,0,0,0,0,0
Burnley,6,228,66,53,109,233,347,-114,251,0,0,0,0,0
Cardiff City,2,76,17,13,46,66,143,-77,64,0,0,0,0,0
Charlton Ath,8,304,93,82,129,342,442,-100,361,0,0,0,0,0
Chelsea,28,1076,578,263,235,1839,1056,783,1997,5,1,2,7,4
Coventry City,9,354,99,112,143,387,490,-103,409,0,0,0,0,0
Crystal Palace,11,426,122,106,198,456,614,-158,472,0,0,0,0,0
Derby County,7,266,68,70,128,271,420,-149,274,0,0,0,0,0
Everton,28,1076,390,306,380,1401,1367,34,1476,0,0,0,1,0
Fulham,14,532,157,141,234,604,778,-174,612,0,0,0,0,0
Huddersfield,2,76,12,17,47,50,134,-84,53,0,0,0,0,0
Hull City,5,190,41,48,101,181,323,-142,171,0,0,0,0,0
Ipswich Town,5,202,57,53,92,219,312,-93,224,0,0,0,0,0
Leeds United,12,468,189,125,154,641,573,68,692,0,0,0,0,0
Leicester City,14,536,175,144,217,690,759,-69,669,1,0,0,0,2
Liverpool,28,1076,561,265,250,1859,1079,780,1948,1,2,1,2,4
Manchester City,23,886,417,199,270,1476,1010,466,1450,4,0,0,2,5
Manchester Utd,28,1076,666,236,174,2055,966,1089,2234,13,2,1,5,4
Middlesbrough,15,574,165,169,240,648,794,-146,661,0,0,0,0,1
Newcastle Utd,25,958,357,245,356,1287,1293,-6,1316,0,0,0,0,0
Norwich City,9,354,94,98,162,391,585,-194,380,0,0,0,0,0
Nott'ham Forest,5,198,60,59,79,229,287,-58,239,0,0,0,0,0
Oldham Athletic,2,84,22,23,39,105,142,-37,89,0,0,0,0,0
Portsmouth,7,266,79,65,122,292,380,-88,293,0,0,0,1,0
QPR,7,278,81,65,132,339,431,-92,308,0,0,0,0,0
Reading,3,114,32,23,59,136,186,-50,119,0,0,0,0,0
Sheffield Utd,4,160,46,48,66,167,207,-40,186,0,0,0,0,0
Sheffield Weds,8,316,101,89,126,409,453,-44,392,0,0,0,0,0
Southampton,21,810,253,221,336,988,1147,-159,980,0,0,0,0,0
Stoke City,10,380,116,109,155,398,525,-127,457,0,0,0,0,0
Sunderland,16,608,153,159,296,612,904,-292,618,0,0,0,0,0
Swansea City,7,266,82,66,118,306,383,-77,312,0,0,0,0,1
Swindon Town,1,42,5,15,22,47,100,-53,30,0,0,0,0,0
Tottenham,28,1076,462,268,346,1608,1353,255,1654,0,0,0,0,2
Watford,7,266,67,61,138,276,441,-165,262,0,0,0,0,0
West Brom,12,456,112,128,216,475,696,-221,464,0,0,0,0,0
West Ham,24,920,300,237,383,1113,1331,-218,1137,0,0,0,0,0
Wigan Athletic,8,304,85,76,143,316,482,-166,331,0,0,0,1,0
Wimbledon,8,316,99,94,123,384,472,-88,391,0,0,0,0,0
Wolves,6,228,63,63,102,254,367,-113,252,0,0,0,0,0
