Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,NY Red Bulls,17,13,2,2,36,17,+19,41,2.41,17,3,7,7,25,27,-2,16,0.94
2,NYCFC,17,8,6,3,35,28,+7,30,1.76,17,7,3,7,27,29,-2,24,1.41
3,Toronto FC,17,8,6,3,28,17,+11,30,1.76,17,6,5,6,23,22,+1,23,1.35
4,D.C. United,17,9,4,4,35,18,+17,31,1.82,17,2,9,6,18,29,-11,15,0.88
5,Montreal,17,7,5,5,31,29,+2,26,1.53,17,4,7,6,18,24,-6,19,1.12
6,Philadelphia,17,8,4,5,30,24,+6,28,1.65,17,3,5,9,22,31,-9,14,0.82
7,New England,17,9,4,4,26,19,+7,31,1.82,17,2,5,10,18,35,-17,11,0.65
8,Orlando City,17,6,7,4,31,28,+3,25,1.47,17,3,7,7,24,32,-8,16,0.94
9,Columbus,17,6,8,3,31,25,+6,26,1.53,17,2,4,11,19,33,-14,10,0.59
10,Chicago,17,6,8,3,26,21,+5,26,1.53,17,1,2,14,16,37,-21,5,0.29
