Year,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
2019,Atlanta,24,26.8,55.5,34,374,3060,34.0,55,37,47,8,10,56,1,1.62,1.09,2.71,1.38,2.47,56.6,49.2,38.9,88.1,1.67,1.14,2.81,1.45,2.59
2019,Chicago,26,28.8,48.8,34,374,3060,34.0,53,37,50,3,5,62,3,1.56,1.09,2.65,1.47,2.56,53.1,49.1,37.3,86.4,1.61,1.13,2.74,1.49,2.62
2019,Colorado,24,26.6,42.0,34,374,3060,34.0,57,37,52,5,8,70,8,1.68,1.09,2.76,1.53,2.62,51.1,45.1,31.5,76.6,1.50,0.93,2.43,1.33,2.25
2019,Columbus,33,27.4,49.0,34,374,3060,34.0,37,26,33,4,5,57,1,1.09,0.76,1.85,0.97,1.74,37.3,33.7,26.1,59.7,1.10,0.77,1.86,0.99,1.76
2019,D.C. United,26,26.8,47.6,34,374,3060,34.0,41,25,37,4,4,49,5,1.21,0.74,1.94,1.09,1.82,37.8,34.9,25.8,60.8,1.11,0.76,1.87,1.03,1.79
2019,FC Cincinnati,30,27.2,46.5,34,374,3060,34.0,29,20,25,4,5,57,4,0.85,0.59,1.44,0.74,1.32,33.0,29.3,22.3,51.6,0.97,0.66,1.63,0.86,1.52
2019,FC Dallas,27,24.9,53.2,34,375,3060,34.0,51,34,47,4,5,67,1,1.50,1.00,2.50,1.38,2.38,49.6,46.0,32.2,78.2,1.46,0.95,2.41,1.35,2.30
2019,Houston,26,27.8,47.1,34,374,3060,34.0,45,36,41,4,5,66,4,1.32,1.06,2.38,1.21,2.26,47.5,43.7,33.3,77.0,1.40,0.98,2.38,1.28,2.26
2019,LA Galaxy,26,27.6,50.2,34,374,3060,34.0,58,45,51,7,8,70,3,1.71,1.32,3.03,1.50,2.82,56.3,50.2,42.1,92.2,1.66,1.24,2.89,1.48,2.71
2019,Los Angeles FC,28,25.7,56.9,34,374,3060,34.0,84,58,75,9,11,53,1,2.47,1.71,4.18,2.21,3.91,77.3,69.1,53.5,122.6,2.27,1.57,3.85,2.03,3.61
2019,Minnesota,26,28.6,44.8,34,374,3060,34.0,50,34,44,6,7,55,4,1.47,1.00,2.47,1.29,2.29,52.7,47.5,32.3,79.7,1.55,0.95,2.50,1.40,2.34
2019,Montreal,29,27.7,49.1,34,374,3060,34.0,44,30,38,6,6,55,3,1.29,0.88,2.18,1.12,2.00,38.4,33.8,24.9,58.7,1.13,0.73,1.86,1.00,1.73
2019,New England,23,26.7,45.1,34,374,3060,34.0,49,38,44,5,7,68,6,1.44,1.12,2.56,1.29,2.41,44.8,39.4,30.1,69.4,1.32,0.88,2.20,1.16,2.04
2019,NY Red Bulls,28,26.1,46.7,34,374,3060,34.0,49,34,45,4,5,52,5,1.44,1.00,2.44,1.32,2.32,49.7,45.9,34.9,80.8,1.46,1.03,2.49,1.35,2.38
2019,NYCFC,25,26.2,57.1,34,374,3060,34.0,63,43,58,5,9,79,1,1.85,1.26,3.12,1.71,2.97,51.8,45.8,33.1,78.8,1.57,1.00,2.57,1.39,2.39
2019,Orlando City,27,27.0,47.9,34,374,3060,34.0,44,29,41,3,5,61,3,1.29,0.85,2.15,1.21,2.06,43.6,39.6,28.9,68.5,1.28,0.85,2.13,1.17,2.02
2019,Philadelphia,28,26.7,52.9,34,374,3060,34.0,57,42,53,4,8,58,3,1.68,1.24,2.91,1.56,2.79,54.9,48.7,34.2,82.8,1.61,1.01,2.62,1.43,2.44
2019,Portland,27,27.9,50.2,34,374,3060,34.0,50,35,47,3,5,75,6,1.47,1.03,2.50,1.38,2.41,52.7,48.9,37.8,86.7,1.55,1.11,2.66,1.44,2.55
2019,Real Salt Lake,25,27.4,49.6,34,374,3060,34.0,46,31,40,6,7,65,5,1.35,0.91,2.26,1.18,2.09,36.5,31.2,23.5,54.7,1.07,0.69,1.76,0.92,1.61
2019,San Jose,25,27.7,57.6,34,374,3060,34.0,50,40,49,1,1,72,5,1.47,1.18,2.65,1.44,2.62,52.2,51.4,39.3,90.8,1.53,1.16,2.69,1.51,2.67
2019,Seattle,29,27.7,50.5,34,374,3060,34.0,50,34,47,3,3,53,4,1.47,1.00,2.47,1.38,2.38,48.8,46.5,36.9,83.4,1.44,1.08,2.52,1.37,2.45
2019,Sporting KC,29,28.7,52.6,34,374,3060,34.0,46,29,40,6,9,74,7,1.35,0.85,2.21,1.18,2.03,58.0,51.2,35.0,86.2,1.71,1.03,2.74,1.50,2.54
2019,Toronto FC,29,27.8,54.0,34,374,3060,34.0,57,39,52,5,7,50,3,1.68,1.15,2.82,1.53,2.68,48.1,42.8,33.2,76.0,1.41,0.98,2.39,1.26,2.24
2019,Vancouver,26,26.0,45.1,34,374,3060,34.0,37,22,32,5,7,61,1,1.09,0.65,1.74,0.94,1.59,34.4,29.2,20.8,50.0,1.01,0.61,1.62,0.86,1.47
