Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G
1,FC Dallas,17,12,4,1,33,12,+21,40,2.35,17,5,5,7,17,28,-11,20,1.18
2,Colorado,17,11,6,0,20,7,+13,39,2.29,17,4,7,6,19,25,-6,19,1.12
3,LA Galaxy,17,8,8,1,32,18,+14,32,1.88,17,4,8,5,22,21,+1,20,1.18
4,Seattle,17,10,2,5,22,12,+10,32,1.88,17,4,4,9,22,31,-9,16,0.94
5,Sporting KC,17,10,3,4,30,19,+11,33,1.94,17,3,5,9,12,22,-10,14,0.82
6,Real Salt Lake,17,8,8,1,22,14,+8,32,1.88,17,4,2,11,22,32,-10,14,0.82
7,Portland,17,12,2,3,35,21,+14,38,2.24,17,0,6,11,13,32,-19,6,0.35
8,Vancouver,17,6,6,5,28,22,+6,24,1.41,17,4,3,10,17,30,-13,15,0.88
9,San Jose,17,7,7,3,18,12,+6,28,1.65,17,1,7,9,14,28,-14,10,0.59
10,Houston,17,5,7,5,23,21,+2,22,1.29,17,2,6,9,16,24,-8,12,0.71
