Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,Los Angeles FC,17,13,3,1,48,20,+28,42,2.47,40.7,17.2,+23.5,+1.38,17,8,6,3,37,17,+20,30,1.76,36.6,19.2,+17.4,+1.02
2,Seattle,17,11,4,2,34,21,+13,37,2.18,30.1,20.3,+9.8,+0.58,17,5,4,8,18,28,-10,19,1.12,18.7,26.1,-7.4,-0.44
3,Real Salt Lake,17,12,1,4,31,15,+16,37,2.18,19.5,17.0,+2.4,+0.14,17,4,4,9,15,26,-11,16,0.94,17.0,23.3,-6.3,-0.37
4,Minnesota,17,10,6,1,29,13,+16,36,2.12,30.6,17.5,+13.1,+0.77,17,5,2,10,23,30,-7,17,1.00,22.1,27.1,-5.0,-0.29
5,LA Galaxy,17,11,1,5,36,25,+11,34,2.00,31.4,30.6,+0.8,+0.05,17,5,2,10,22,34,-12,17,1.00,24.9,32.0,-7.1,-0.42
6,Portland,17,8,4,5,29,20,+9,28,1.65,29.5,22.7,+6.8,+0.40,17,6,3,8,23,29,-6,21,1.24,23.3,33.4,-10.2,-0.60
7,FC Dallas,17,10,6,1,38,16,+22,36,2.12,31.2,17.0,+14.3,+0.84,17,3,3,11,16,30,-14,12,0.71,18.4,26.9,-8.5,-0.50
8,San Jose,17,10,2,5,32,20,+12,32,1.88,29.2,21.2,+8.0,+0.47,17,3,3,11,20,35,-15,12,0.71,22.9,25.9,-2.9,-0.17
9,Colorado,17,9,2,6,36,29,+7,29,1.71,28.4,23.4,+5.0,+0.29,17,3,4,10,22,34,-12,13,0.76,22.7,33.5,-10.9,-0.64
10,Houston,17,10,4,3,31,19,+12,34,2.00,29.1,18.4,+10.7,+0.63,17,2,0,15,18,40,-22,6,0.35,18.4,32.3,-13.9,-0.82
11,Sporting KC,17,7,4,6,30,30,0,25,1.47,32.2,23.0,+9.1,+0.54,17,3,4,10,19,37,-18,13,0.76,25.8,28.3,-2.5,-0.15
12,Vancouver,17,5,5,7,16,23,-7,20,1.18,16.0,25.7,-9.7,-0.57,17,3,5,9,21,36,-15,14,0.82,18.4,34.6,-16.2,-0.95
